,Area,Year,Population_per_hectare,Unemployment_rate,Workless Household Percentage,Youth_population,Avg_house_price,Population
452,Southwark,2014,105.0,9.425,14.9,12.0,493744.0,303182.0
453,Southwark,2015,107.2,7.25,12.9,12.0,540029.0833,309545.0
454,Southwark,2016,108.7,6.75,12.1,11.5,589042.25,313867.0
455,Southwark,2017,110.1,6.2,13.4,11.3,595450.5833,317735.0
456,Southwark,2018,111.7,5.9,13.9,11.2,581994.0833,322302.0
457,Southwark,2019,113.4,5.1,12.5,10.9,575881.9167,327271.0
458,Southwark,2020,114.4,5.25,12.0,10.4,590757.5,330290.0
459,Sutton,2012,44.2,7.025,12.5,7.7,241459.6667,194022.0
460,Sutton,2013,44.8,6.6,19.3,7.5,254764.5,196306.0
461,Sutton,2014,45.3,5.425,9.6,7.5,294322.6667,198526.0
462,Sutton,2015,45.7,5.225,8.3,7.3,326471.1667,200537.0
463,Sutton,2016,46.2,5.4,10.3,7.2,369306.5,202612.0
464,Sutton,2017,46.7,4.5,11.7,6.9,381055.4167,204933.0
465,Sutton,2018,47.3,4.7,9.3,6.8,383451.0833,207378.0
466,Sutton,2019,47.8,4.45,11.6,6.7,375669.5,209666.0
467,Sutton,2020,48.2,4.6,10.0,6.5,382900.0,211297.0
468,Tower Hamlets,2012,133.3,12.575,22.9,13.9,313351.25,263676.0
469,Tower Hamlets,2013,138.3,13.15,15.5,13.8,339255.75,273563.0
470,Tower Hamlets,2014,143.9,9.625,15.5,13.9,419599.5833,284688.0
471,Tower Hamlets,2015,149.6,8.525,15.4,14.0,463181.8333,295909.0
472,Tower Hamlets,2016,154.5,7.0,14.9,14.0,501806.4167,305527.0
473,Tower Hamlets,2017,157.2,8.1,20.9,13.9,504166.25,311044.0
474,Tower Hamlets,2018,160.4,5.6,11.2,13.7,490142.3333,317203.0
475,Tower Hamlets,2019,163.6,5.6,14.8,13.4,481511.75,323696.0
476,Tower Hamlets,2020,165.8,5.475,17.6,12.7,511605.1667,328043.0
477,UK,2012,,,18.2,,,
478,UK,2013,,,17.2,,,
479,UK,2014,,,16.4,,,
480,UK,2015,,,15.5,,,
481,UK,2016,,,15.3,,,
482,UK,2017,,,14.7,,,
483,UK,2018,,,14.5,,,
484,UK,2019,,,14.0,,,
485,UK,2020,,,13.7,,,
486,Unnamed: 34,2012,,,,,,
487,Unnamed: 34,2013,,,,,,
488,Unnamed: 34,2014,,,,,,
489,Unnamed: 34,2015,,,,,,
490,Unnamed: 34,2016,,,,,,
491,Unnamed: 34,2017,,,,,,
492,Unnamed: 34,2018,,,,,,
493,Unnamed: 34,2019,,,,,,
494,Unnamed: 34,2020,,,,,,
495,Unnamed: 37,2012,,,,,,
496,Unnamed: 37,2013,,,,,,
497,Unnamed: 37,2014,,,,,,
498,Unnamed: 37,2015,,,,,,
499,Unnamed: 37,2016,,,,,,
500,Unnamed: 37,2017,,,,,,
501,Unnamed: 37,2018,,,,,,
502,Unnamed: 37,2019,,,,,,
503,Unnamed: 37,2020,,,,,,
504,Unnamed: 47,2012,,,,,,
505,Unnamed: 47,2013,,,,,,
506,Unnamed: 47,2014,,,,,,
507,Unnamed: 47,2015,,,,,,
508,Unnamed: 47,2016,,,,,,
509,Unnamed: 47,2017,,,,,,
510,Unnamed: 47,2018,,,,,,
511,Unnamed: 47,2019,,,,,,
512,Unnamed: 47,2020,,,,,,
513,WEST MIDLANDS,2012,,,,,139801.0,
514,WEST MIDLANDS,2013,,,,,142526.0833,
515,WEST MIDLANDS,2014,,,,,150337.0,
516,WEST MIDLANDS,2015,,,,,157554.9167,
517,WEST MIDLANDS,2016,,,,,167809.0,
518,WEST MIDLANDS,2017,,,,,177159.9167,
519,WEST MIDLANDS,2018,,,,,185871.0833,
520,WEST MIDLANDS,2019,,,,,189435.4167,
521,WEST MIDLANDS,2020,,,,,195164.5833,
522,Wales,2012,,8.375,21.6,,,
523,Wales,2013,,8.125,20.4,,,
524,Wales,2014,,7.05,19.4,,,
525,Wales,2015,,6.375,18.4,,,
526,Wales,2016,,5.15,17.8,,,
527,Wales,2017,,4.7,17.5,,,
528,Wales,2018,,4.5,17.2,,,
529,Wales,2019,,4.3,18.4,,,
530,Wales,2020,,3.65,16.5,,,
531,Waltham Forest,2012,67.8,11.05,15.5,10.0,238236.25,263221.0
532,Waltham Forest,2013,68.7,10.325,14.8,9.9,262541.0833,266452.0
533,Waltham Forest,2014,69.2,9.5,15.6,9.8,325185.0,268675.0
534,Waltham Forest,2015,70.0,7.375,12.6,9.6,369149.9167,271825.0
535,Waltham Forest,2016,71.2,6.35,11.6,9.2,426596.5,276498.0
536,Waltham Forest,2017,72.2,5.9,8.9,8.8,450311.25,280050.0
537,Waltham Forest,2018,73.1,4.0,10.2,8.6,455237.75,283524.0
538,Waltham Forest,2019,73.9,4.55,14.1,8.4,444747.25,286776.0
539,Waltham Forest,2020,74.7,6.025,13.4,7.8,465919.3333,290024.0
540,Wandsworth,2012,90.2,6.575,13.1,9.1,469708.25,308902.0
541,Wandsworth,2013,90.8,7.4,21.9,9.3,524793.9167,311106.0
542,Wandsworth,2014,91.3,5.375,10.5,9.2,624738.9167,312735.0
543,Wandsworth,2015,92.0,5.15,11.2,9.4,657066.3333,315134.0
544,Wandsworth,2016,92.4,4.75,9.7,9.6,698427.3333,316686.0
545,Wandsworth,2017,93.3,4.5,9.5,9.7,708960.4167,319731.0
546,Wandsworth,2018,94.7,3.9,9.0,9.5,684534.75,324400.0
547,Wandsworth,2019,96.0,3.9,9.5,9.4,674533.4167,328828.0
548,Wandsworth,2020,97.1,3.75,5.4,8.8,700042.0833,332731.0
549,West Midlands,2012,,8.875,19.5,,,
550,West Midlands,2013,,8.95,13.4,,,
551,West Midlands,2014,,7.45,18.2,,,
552,West Midlands,2015,,6.05,17.3,,,
553,West Midlands,2016,,5.8,16.4,,,
554,West Midlands,2017,,5.1,15.2,,,
555,West Midlands,2018,,4.7,15.2,,,
556,West Midlands,2019,,4.7,15.3,,,
557,West Midlands,2020,,5.025,14.8,,,
558,Westminster,2012,104.2,,24.2,10.4,740891.5,223858.0
559,Westminster,2013,105.6,,,9.9,839807.8333,226841.0
560,Westminster,2014,108.6,,21.2,10.1,980910.9167,233292.0
561,Westminster,2015,112.8,,21.4,11.5,1025497.5,242299.0
562,Westminster,2016,115.2,,18.7,11.8,1058347.083,247614.0
563,Westminster,2017,116.4,,21.9,11.5,1131942.75,250049.0
564,Westminster,2018,118.4,,20.7,11.5,1084204.583,254375.0
565,Westminster,2019,120.3,,16.1,11.5,1013009.167,258511.0
566,Westminster,2020,121.0,,17.8,11.1,1022381.417,259981.0
567,YORKS and THE HUMBER,2012,,,,,121940.0,
568,YORKS and THE HUMBER,2013,,,,,122567.75,
569,YORKS and THE HUMBER,2014,,,,,128395.75,
570,YORKS and THE HUMBER,2015,,,,,133532.8333,
571,YORKS and THE HUMBER,2016,,,,,140258.8333,
572,YORKS and THE HUMBER,2017,,,,,145722.0,
573,YORKS and THE HUMBER,2018,,,,,150530.3333,
574,YORKS and THE HUMBER,2019,,,,,153801.0833,
575,YORKS and THE HUMBER,2020,,,,,159281.0,
576,Yorkshire and The Humber,2012,,9.5,,,,
577,Yorkshire and The Humber,2013,,9.05,,,,
578,Yorkshire and The Humber,2014,,8.05,,,,
579,Yorkshire and The Humber,2015,,6.475,,,,
580,Yorkshire and The Humber,2016,,5.95,,,,
581,Yorkshire and The Humber,2017,,5.0,,,,
582,Yorkshire and The Humber,2018,,4.5,,,,
583,Yorkshire and The Humber,2019,,4.45,,,,
584,Yorkshire and The Humber,2020,,4.175,,,,
585,Yorkshire and the Humber,2012,,,19.3,,,
586,Yorkshire and the Humber,2013,,,16.8,,,
587,Yorkshire and the Humber,2014,,,17.7,,,
588,Yorkshire and the Humber,2015,,,16.6,,,
589,Yorkshire and the Humber,2016,,,16.8,,,
590,Yorkshire and the Humber,2017,,,15.8,,,
591,Yorkshire and the Humber,2018,,,16.0,,,
592,Yorkshire and the Humber,2019,,,15.0,,,
593,Yorkshire and the Humber,2020,,,14.3,,,
594,,2013,,,19.6,,,
595,,2013,,,23.0,,,
596,,2013,,,19.9,,,
597,,2013,,,17.3,,,
